Building,Developer,Image,Location,Name,Remarks,Retail Space (m2),Year opened
,,,Mandaluyong,Madison Square Pioneer,,,
,,,ManilaRizal Park,Manila Ocean Park Mall,,,
,,,PasigOrtigas Center,Metrowalk,,,
,,,MuntinlupaAlabang,Molito,,,
,,,TaguigBonifacio Global City,One Parkade,,,
,,,Makati,Paseo de Magallanes,,,
,,,Mandaluyong,Pavilion at Greenfield District,,,
,,,Quezon City,Pearl Drive Commercial Center,,,
,,,PasigOrtigas Center,Pioneer Center,,,
,,,PasayNewport City,Plaza 66,,,
,,,MakatiForbes Park,San Antonio Plaza,,,
,,,Parañaque,San Antonio Shopping Center,,,
,,,Parañaque,Santana Grove,,,
,,,PasigOrtigas Center,Silver City Automall,,,
,,,Pasay,SM by the Bay,,,
,,,Quezon City,Sunshine Boulevard Plaza,,,
,,,Quezon City,The Clubhouse at Temple Drive,,,
,,,TaguigBonifacio Global City,The Fort Strip,,,
,,,Mandaluyong,The Hub at Greenfield District,,,
,,,Mandaluyong,The Portal at Greenfield District,,,
,,,TaguigBonifacio Global City,Two Parkade,,,
,,,Quezon City,U.P.-Ayala Land Technohub,,,
,,,MuntinlupaAlabang,Westgate Center,,,
Alphaland Makati Place,,,Makati,Alphaland Makati Place Mall,,,
Alphaland Southgate Tower,,,MakatiMagallanes Village,Alphaland Southgate Mall,,,
The Arton by Rockwell,,,Quezon CityKatipunan Avenue,Arton Strip,,,
California Garden Square,,,Mandaluyong,DMG Plaza,,,
DoubleDragon Plaza,,,PasayBay City,DoubleDragon Plaza Podium[35],,,
Cyber One Plaza,,,Quezon CityEastwood City,Eastwood Cyber and Fashion Mall,,,
Green Residences,,,ManilaTaft Avenue,Green Mall,,,
SM Jazz Residences,,,MakatiBel-Air Village,Jazz Mall,,,
SM Light Residences,,,Mandaluyong,Light Mall,,,
M Place South Triangle,,,Quezon CitySouth Triangle,M Place Mall South Triangle,,,
SM Mezza Residences,,,Quezon CitySanta Mesa,Mezza Strip,,,
OneE-comCenterGround Level,,,PasayMall of Asia Complex,OneE-com Plaza,,,
Paseo Center IT Building,,,Makati,Paseo Center,,,
FiveE-comCenterFourth Level,,,PasayMall of Asia Complex,Prism Plaza @ FiveE-comCenter,,,
TwoE-comCenterFourth Level,,,PasayMall of Asia Complex,Prism Plaza @ TwoE-comCenter,,,
RCBC Plaza,,,Makati,RCBC Plaza Podium,,,
Conrad Manila,,,PasayMall of Asia Complex,S Maison[36],,,
San Lorenzo Place,,,Makati,San Lorenzo Place Podium,,,
Serendra,,,TaguigBonifacio Global City,Serendra Piazza,,,
Victoria Towers,,,Quezon CityTomas Morato Avenue,Shoppes @ Victoria,,,
Victoria de Manila,,,Manila,Shoppes @ Victoria,,,
Spark Place,,,Quezon CityP. Tuazon Boulevard,Spark Place,,,
Sun Residences,,,Quezon CityMabuhay Rotunda,Sun Mall,,,
Sun Star Grand Hotel,,,ManilaQuiapo,Sunsonic Electronics Plaza,,,
Techno Plaza 2,,,Eastwood City,Techno Plaza 2,,,
The One Santo Tomas,,,Manila,The One Grand Center,,,
The Enterprise Center Tower 1,,,Makati,The Enterprise Center,,,
Solaire Resort & Casino,,,ParañaqueEntertainment City,The Shoppes at Solaire Resort & Casino[37],,,
Ayala North Exchange Towers,,,MakatiAyala Avenue,The Shops at Ayala North Exchange,,,
Okada Manila,,,ParañaqueEntertainment City,The Shops at Okada Manila[38],,,
City of Dreams Manila,,,ParañaqueEntertainment City,The Shops at the Boulevard[39],,,
TwoE-comCenterGround Level,,,PasayMall of Asia Complex,TwoE-com Plaza,,,
BDO Corporate Center,,,MandaluyongOrtigas Center,The Podium,,,
Three Central Makati,,,Makati,Three Central[40],,,
Times Plaza,,,ManilaErmita,Times Plaza Mall,,,
W Global Center,,,TaguigBonifacio Global City,W Global Center,,,
Wil Tower,,,Quezon CityDiliman,Wil Tower Mall,,,
Worldwide Corporate Center,,,MandaluyongShaw Boulevard,Worldwide Corporate Center Podium,,,
,,,Parañaque,Duty Free Philippines Fiesta Mall,,,
,,,Pasay,Luxe Duty Free[41],,,
,,,ManilaBinondo,11/88 Mall,,,
,,,ManilaBinondo,168 Shopping Mall,,,
,,,ManilaBinondo,999 Shopping Mall,,,
,,,Pasay,Baclaran Bagong Milenyo Plaza,,,
,,,Pasay,Baclaran Galleria Shopping Mall,,,
,,,Parañaque,Baclaran Supermall,,,
,,,Pasay,Baclaran Terminal Plaza,,,
,,,ManilaTondo,D8 Mall (formerly Dragon8 Shopping Center)[42],,,
,,,Pasay,Harrison Wholesale Center,,,
,,,ManilaSanta Cruz,Odeon Terminal Mall,,,
,,,Quiapo,Plaza Miranda Mall,,,
,,,San Juan,Shoppesville Arcade at Greenhills Shopping Center,,,
,,,MandaluyongOrtigas Center,St. Francis Square Mall,,,
,,,PasigOrtigas Center,Tiendesitas,,,
,,,ManilaTondo,Tutuban Center,,,
,,,Pasay,Two Shopping Center,,,
,,,TaguigArca South,Ayala Malls Arca South,The retail anchor for Arca South mixed-use development by Ayala Land in Taguig expected to be completed by 2018.[43],,
,,,Quezon CityBagumbayan,Ayala Malls Parklinks,"A 52,000-square-metre (560,000 sq ft) regional shopping mall being developed by the joint venture of Ayala Land and LT Group on 35 hectares (86 acres) of property along C-5 Road at the border of Quezon City and Pasig by the Marikina River.[44]",,
,,,Las PiñasAlmanza,Ayala Malls Southvale,"A 6,000-square-metre (65,000 sq ft) mall along Daang Hari Road in Las Piñas.[21]",,
,,,Tondo,Deca Mall,"The retail component of Urban Deca Homes Manila, a 8.4-hectare (21-acre) mixed-use development by 8990 Holdings in Tondo, Manila.[45]",,
,,,TaguigBonifacio Global City,Mitsukoshi Mall,A three-level lifestyle mall to be located next to Grand Hyatt Manila below The Seasons Residences in north BGC being developed by the joint venture of Federal Land and Japanese firms Nomura Holdings and Isetan Mitsukoshi Holdings that will house the first Mitsukoshi department store in the Philippines. Expected completion in 2021.[46],,
,,,ParañaqueEntertainment City,Westside Mall,"The retail component of Megaworld Corporation's Westside City, a 31-hectare (77-acre) mixed-use development in Parañaque that will also house the fourth integrated resort of Entertainment City called Westside City Resorts World (previously named Resorts World Bayshore). This lifestyle mall and its casino complex is expected to start initial operations in 2021.[47]",,
