ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
49,Novo Mall,Royal Novo Greenland Realty Corp.,18.35553,121.63781,NT_aGabTNJqlnThIpt8LFE1.C,Here WeGo,Here WeGo,2020-02-17,POINT (121.63781 18.35553),REGION II (CAGAYAN VALLEY),CAGAYAN,APARRI,Centro 2 (Pob.),PH021505006
50,Ryan Mall,,18.35553,121.63781,NT_aGabTNJqlnThIpt8LFE1.C,Here WeGo,Here WeGo,2020-02-17,POINT (121.63781 18.35553),REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),San Felipe,PH023114080
51,Ilagan City Mall,,17.12292,121.8888,NT_nnQB4m0q120PWAOLHwmlVD,Here WeGo,Here WeGo,2020-02-17,POINT (121.8888 17.12292),REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),San Felipe,PH023114080
52,Northstar Mall,Northstar Resources Inc.,17.12292,121.8888,NT_nnQB4m0q120PWAOLHwmlVD,Here WeGo,Here WeGo,2020-02-17,POINT (121.8888 17.12292),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Centro 8 (Pob.),PH021529010
53,Primark Town Center Tuguegarao,Primark Philippine Properties,17.61798,121.7279,NT_8wFXgnp6ppjQVkEiGd6KxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.7279 17.61798),NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CAUAYAN,Isio,PH184507016
54,Primark Town Center Cauayan,Primark Philippine Properties,9.97642,122.58898,NT_1MDqS72xQMNRi1oPA3ypvC,Here WeGo,Here WeGo,2020-02-17,POINT (122.58898 9.976419999999999),REGION II (CAGAYAN VALLEY),ISABELA,ECHAGUE,Cabugao (Pob.),PH023112066
55,Primark Town Center Echague,Primark Philippine Properties,16.70883,121.66983,NT_s.CR2r8ItJHYaPCelK.c8D,Here WeGo,Here WeGo,2020-02-17,POINT (121.66983 16.70883),REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,BAMBANG,Banggot (Pob.),PH025004007
56,Primark Town Center Bambang,Primark Philippine Properties,16.38687,121.10765,NT_TbzJP5prYaXR1UC44DhtCD,Here WeGo,Here WeGo,2020-02-17,POINT (121.10765 16.38687),REGION II (CAGAYAN VALLEY),ISABELA,CORDON,Capirpiriwan,PH023109003
57,Primark Town Center Cordon,Primark Philippine Properties,16.66118,121.44934,NT_P5gPsFg8HYx1cZVVYq1ijD,Here WeGo,Here WeGo,2020-02-17,POINT (121.44934 16.66118),REGION XIII (Caraga),AGUSAN DEL NORTE,SANTIAGO,Tagbuyacan,PH160210009
58,Robinsons Place Santiago,Robinsons Land,9.2848,125.55244,NT_FvwO3JYSdueaO7Q.e00MZB,Here WeGo,Here WeGo,2020-02-17,POINT (125.55244 9.284800000000001),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Centro 8 (Pob.),PH021529010
59,Robinsons Place Tuguegarao,Robinsons Land,17.61798,121.7279,NT_8wFXgnp6ppjQVkEiGd6KxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.7279 17.61798),REGION II (CAGAYAN VALLEY),ISABELA,CITY OF SANTIAGO,San Andres,PH023135029
60,Vista Mall Santiago,Vista Land & Lifescapes,16.70758,121.55572,NT_8o8F5y3KOm6k8CKHhYFuQA,Here WeGo,Here WeGo,2020-02-17,POINT (121.55572 16.70758),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
61,Vista Mall Tuguegarao,Vista Land & Lifescapes,17.62507,121.718,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
62,SM City Tuguegarao,SM Prime Holdings,17.62507,121.718,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
63,SM Center Tuguegarao Downtown,SM Prime Holdings,17.62507,121.718,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CAUAYAN,Poblacion,PH184507004
64,SM City Cauayan,SM Prime Holdings,9.97229,122.62694,NT_kPr7pBGLCuCQ7M-swqrY3A,Here WeGo,Here WeGo,2020-02-17,POINT (122.62694 9.972289999999999),REGION III (CENTRAL LUZON),NUEVA ECIJA,TALAVERA,Baluga,PH034930008
65,Talavera Square Mall,,15.56423,120.95067,NT_392k1nHTg6Y9Vt0XGa45KC,Here WeGo,Here WeGo,2020-02-17,POINT (120.95067 15.56423),REGION III (CENTRAL LUZON),NUEVA ECIJA,TALAVERA,Baluga,PH034930008
66,Talavera Square Mall,,15.56423,120.95067,NT_392k1nHTg6Y9Vt0XGa45KC,Here WeGo,Here WeGo,2020-02-17,POINT (120.95067 15.56423),REGION II (CAGAYAN VALLEY),ISABELA,CABAGAN,Ugad,PH023106023
67,Xentro Mall Cabagan,AMRC Holdings Co. Inc.,17.42762,121.77299,NT_Nqj3BKYD.XIS1jp7cLAGBB,Here WeGo,Here WeGo,2020-02-17,POINT (121.77299 17.42762),REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),San Felipe,PH023114080
68,Xentro Mall Ilagan,AMRC Holdings Co. Inc.,17.12292,121.8888,NT_nnQB4m0q120PWAOLHwmlVD,Here WeGo,Here WeGo,2020-02-17,POINT (121.8888 17.12292),REGION IV-B (MIMAROPA),PALAWAN,ROXAS,Barangay IV (Pob.),PH175318031
69,Xentro Mall Roxas,AMRC Holdings Co. Inc.,10.31742,119.34048,NT_cDEnFfj5tdSbHdjSM4K6qB,Here WeGo,Here WeGo,2020-02-17,POINT (119.34048 10.31742),REGION I (ILOCOS REGION),ILOCOS SUR,SANTIAGO,Poblacion Sur,PH012927020
