ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
235,Gaisano Grand Roxas,Gaisano,11.5894561,122.7513442,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,SILAY CITY,Mambulac,PH184526015
236,Gaisano Grand Silay,,10.7925475,122.971945,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Maria Clara,PH063022107
237,Gaisano Grand Talamban,Gaisano,10.3665146,123.9136951,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,TOLEDO CITY,Sangi,PH072251033
238,Gaisano Guanco,Gaisano,10.692169,122.5700194,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 13 (Pob.),PH184501008
239,Gaisano Mactan Island Mall,Gaisano,10.3167056,123.9630579,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022
240,Gaisano Main Bacolod,,10.6660561,122.9467599,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Poblacion Molo,PH063022129
241,Gaisano Main Cebu,Gaisano,10.2975856,123.9017269,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Basak,PH072226005
242,Gaisano Mall Butuan,Gaisano,8.9442772,125.5320944,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),AGUSAN DEL NORTE,BUTUAN CITY (Capital),Imadejas Pob. (Bgy. 24),PH160202037
243,Gaisano Mall General Santos,Gaisano,6.1169488,125.1842745,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,GENERAL SANTOS CITY (DADIANGAS),Lagao (1st & 3rd),PH126303011
244,Gaisano Mall of Davao,DSG Sons Group Inc.,7.0779935,125.6136525,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF TAGUM (Capital),Magugpo East,PH112319023
245,Gaisano Mall of Digos,DSG Sons Group Inc.,6.7595992,125.3463428,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 3-A (Pob.),PH112402136
246,Gaisano Mall of Tagum,DSG Sons Group Inc.,7.44909,125.811631,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,CITY OF DIGOS (Capital),Tres De Mayo,PH112403027
247,Gaisano Mall of Toril,DSG Sons Group Inc.,7.0167957,125.4935968,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 13-B (Pob.),PH112402146
248,Gaisano Metro Maasin,Gaisano,10.131687,124.835405,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,ORMOC CITY,Alegria,PH083738001
249,Gaisano Puerto,Gaisano Sons Inc.,8.5002175,124.7514899,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Bulua,PH104305003
250,Gaisano Riverside Mall,Gaisano,11.007692,124.604101,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,ORMOC CITY,Cogon Combado,PH083738016
251,Gaisano Saver's Mart,Gaisano,10.2900919,123.9678557,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,BALAMBAN,Santa Cruz-Santo Niño (Pob.),PH072208028
252,Gaisano Super Citi Mall Iligan,Gaisano,8.2315063,124.2418233,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,OZAMIS CITY,Tinago,PH104210048
253,Gaisano Town Center,Gaisano,10.5038297,123.7212108,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion II,PH071242011
254,Galleria Luisa,Bohol Quality Corp.,9.6420946,123.8541692,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001
255,Galleria South,Robinsons Land,14.3522646,121.0619814,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SAN PEDRO,Nueva,PH043425010
256,Gate 3 Plaza,,14.5253789,121.0277157,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
257,Gateway Mall,Araneta Group,14.6218954,121.0529457,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,San Lorenzo,PH137602025
258,Geege Mall,,8.14407,123.84101,608jx7ps-6bb723a7b4df07886e108c062a692b3e,Here WeGo,Here WeGo,5/2/2020,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,OZAMIS CITY,Tinago,PH104210048
259,Geegee Mall,,8.144076,123.8406405,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,ILIGAN CITY,Tubod,PH103504030
260,Glorietta,Ayala Land,14.5512398,121.0253682,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,San Lorenzo,PH137602025
261,GraceLand Mall,GraceLand23 Inc.,14.8569121,120.8126227,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),BULACAN,CITY OF MALOLOS (Capital),Guinhawa,PH031410015
262,Graceland Plaza,RMR Group of Companies,14.555907,121.01321,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Greenhills,PH137405021
263,Grand Master Mall,,13.6243048,123.1839558,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Santa Cruz,PH051724029
264,Green Mall,,14.5673457,120.9927478,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Bel-Air,PH137602002
265,Greenbelt,Ayala Land,14.5529302,121.0210029,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
266,Greenhills Shopping Center,,14.6020431,121.0496824,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Guadalupe Nuevo,PH137602009
267,Gregorian Mall,,13.1389571,123.7336986,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 7 - Baño (Pob.),PH050506041
268,GT Plaza Mall,,10.6962005,122.5455934,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,PAVIA,Ungka II,PH063036019
269,GT Town Center,,10.7534389,122.5381126,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,KALIBO (Capital),Poblacion,PH060407013
270,Guadalupe Commercial Center,,14.565882,121.0458559,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Kristong Hari,PH137404024
271,Guagua Town Center,,14.968562,120.636036,608wdtvd-26ca7984347d4bf79429a86d833bdcdc,Here WeGo,Here WeGo,5/2/2020,REGION III (CENTRAL LUZON),PAMPANGA,GUAGUA,Santa Filomena (Pob.),PH035407028
272,Harbor Point,Ayala Land,14.8248971,120.2803623,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),ZAMBALES,OLONGAPO CITY,Old Cabalan,PH037107021
273,Harbour Square,,14.5586492,120.9844423,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,San Antonio,PH137604012
274,Harrison Wholesale Center,,14.5365033,120.9956082,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,Barangay 310,PH133905012
275,HCM Place Valenzuela City,,14.7125188,120.9846695,ChIJB7J-3sazlzMRpmrNolzyY2o,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,Canumay West (Canumay),PH137504007
276,Hemady Square,,14.6240994,121.0315995,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
277,HK Sun Plaza,,14.5459841,120.9888879,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,South Triangle,PH137404116
278,Ibayo Town Center,,14.5036039,120.9948465,ChIJm6oM6pjOlzMRYcVBWH7koyU,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Santo Niño,PH137604005
279,Il Corso Festival Mall,Filinvest,14.4182814,121.0413025,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,MANDAUE CITY,Tabok,PH072230023
280,Il Terrazzo Mall,,14.636113,121.035425,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,Barangay 308,PH133903017
281,Ilagan City Mall,,17.1268775,121.8666708,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),Baligatan,PH023114013
282,Iligan Fiesta Mall,,8.227474,124.2421666,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
283,iMall,,14.59504837,121.1713319,235479246,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,Santa Cruz,PH045802017
284,iMall camarin,,14.7566684,121.0585494,ChIJf_mHWhiwlzMRehHBvcxuBiM,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY,Barangay 178,PH137501178
285,Industria Mall,Ortigas & Company[28],14.601543,121.0878777,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007
286,Insular Square Mall,A. Lim Corp.,10.3502975,123.9482916,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Dao,PH071242005
287,Intrepid Plaza,,14.67687,121.01419,608wdw53-ea4e80f471e140dd8458ef4c9469c329,Here WeGo,Here WeGo,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Baesa,PH137404005
288,Irene Mall,,14.28142466,121.4155555,122480948,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),LAGUNA,SANTA CRUZ (Capital),Barangay III (Pob.),PH043426016
289,Isetann Cinerama Recto,Joymart Consolidated,14.6031235,120.9846612,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115
290,Isetann Cubao,Joymart Consolidated,14.622648,121.053666,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Ramon Magsaysay,PH137404089
291,Island CityMall,Alturas Supermarket Corp.,9.6553121,123.8697298,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,MANDAUE CITY,Bakilid,PH072230002
292,J & F Mall Borongan,J & F,11.6131676,125.4335856,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 14,PH083747035
293,Jackman Plaza,,14.6580496,121.021033,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Rosario,PH137403017
294,Jaka Plaza,,14.4656403,121.018794,ChIJewDPKUTOlzMR97Qx33D1JZs,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,San Antonio,PH137604012
295,Jazz Mall,,14.5640519,121.0218716,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Barangka Ilaya,PH137401005
296,JCentre Mall,,10.3358431,123.9344385,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Lahug (Pob.),PH072217041
297,Jenra Mall,,15.13599514,120.5879191,200761493,OpenStreetMap,OpenStreetMap,2/5/2020,REGION III (CENTRAL LUZON),PAMPANGA,ANGELES CITY,Santo Rosario (Pob.),PH035401029
298,JTC Mall,,17.5895972,120.3891743,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,SAN CARLOS CITY,Roxas Boulevard (Pob.),PH015532076
299,JY Square Discovery Mall,Jovima Management and Development Corp.,10.3306284,123.8985824,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Ibo,PH072226013
300,KCC Mall of General Santos,Koronadal Commercial Corp.,6.115621,125.187059,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,CITY OF KORONADAL (Capital),Zone II (Pob.),PH126306017
301,KCC Mall of Marbel,Koronadal Commercial Corp.,6.499026,124.846216,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (Capital),Poblacion,PH124704032
302,KH Shopping Center,Kim Huat Group,11.709905,122.364563,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 12 (Pob.),PH184501007
303,KMCC Mall,Kidapawan Megacenter Corp.,7.013658,125.0899963,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Tandang Sora,PH137404120
304,Laguna Central,Greenfield Estates,14.2501509,121.0648054,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Don Jose,PH043428006
305,Lakefront Boardwalk,,14.465755,121.053531,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Bel-Air,PH137602002
306,Landmark Alabang,,14.41570208,121.0425026,451485141,OpenStreetMap,OpenStreetMap,2/5/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001
307,LCC Calabanga,,13.707441,123.2151308,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,CALABANGA,San Francisco (Pob.),PH051708033
308,LCC Center Daet,,14.1146796,122.9569451,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES NORTE,DAET (Capital),Barangay VIII (Pob.),PH051603031
309,LCC Center Goa,,13.6981516,123.4887529,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,GOA,Panday (Pob.),PH051715020
310,LCC Center Guinobatan,,13.1919732,123.5996398,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,GUINOBATAN,Poblacion,PH050504038
311,LCC Center Libmanan,,13.6942112,123.0616731,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,LIBMANAN,Libod I,PH051718031
312,LCC Center Ligao,,13.2408241,123.5389293,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,CITY OF LIGAO,Bagumbayan,PH050508005
313,LCC Center Masbate,,12.368333,123.617286,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),MASBATE,CITY OF MASBATE (Capital),Bapor (Pob.),PH054111006
314,LCC Center Sorsogon,,12.9703937,124.0066352,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),Sampaloc (Pob.),PH056216030
315,LCC Central Mall Naga,Liberty Commercial Center Inc.,13.619294,123.179848,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Sabang,PH051724025
316,LCC Mall Daraga,,13.149288,123.716677,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN),Market Area Pob. (Dist. 1),PH050503034
317,LCC Mall Iriga,,13.4203073,123.4104696,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,IRIGA CITY,San Francisco (Pob.),PH051716016
318,LCC Mall Legazpi,,13.1474554,123.7535817,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 26 - Dinagaan (Pob.),PH050506023
319,LCC Mall Nabua,,13.4060716,123.3730116,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NABUA,San Roque (Pob.),PH051723033
320,LCC Mall Polangui,,13.2890179,123.4903622,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,POLANGUI,Ubaliw,PH050514046
321,LCC Mall Tabaco,,13.35761,123.7295055,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,CITY OF TABACO,Basud (Pob.),PH050517007
322,LCC Market Plus Labo,,14.1541244,122.8291457,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES NORTE,LABO,Pinya (Pob.),PH051606046
323,LCC Market Plus Pio Duran,,13.0327281,123.4462915,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,PIO DURAN,Banawan (Binawan),PH050513005
324,LCC Pili,,13.5552754,123.2746646,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,PILI (Capital),Old San Roque (Pob.),PH051728012
325,Lee Plaza,,9.307862945,123.3071228,173874021,OpenStreetMap,OpenStreetMap,2/5/2020,NEGROS ISLAND REGION (NIR),NEGROS ORIENTAL,DUMAGUETE CITY (Capital),Poblacion No. 3 (Barangay 3),PH184610021
326,Leonard Wood Terraces,,16.4121973,120.6055042,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Kabayanihan,PH141102142
327,Liberty Center,,14.5606107,121.0255812,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Greenhills,PH137405021
328,Light Mall,,14.5737919,121.0489327,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,South Triangle,PH137404116
329,Limketkai Center,Limketkai Sons Inc.,8.4816761,124.6559205,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Barangay 25 (Pob.),PH104305076
330,Limman's Center,,10.6679153,122.9451946,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 12 (Pob.),PH184501007
331,Lokal Mall,,14.42939854,120.8940985,306853840,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),CAVITE,KAWIT,Magdalo (Putol),PH042111007
332,Lopue's Araneta,,10.6679273,122.9459198,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Villamonte,PH184501059
333,Lopue's East Centre,,10.6638402,122.9669562,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Mandalagan,PH184501050
334,Lopue's Mandalagan,,10.6965425,122.9606748,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Alijis,PH184501002
335,Lopue's Panaad,,10.6324676,122.9626382,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 14 (Pob.),PH184501009
336,Lopue's San Sebastian,,10.6661279,122.9442069,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Edganzon,PH063022054
337,Lucky Chinatown,Megaworld Corporation,14.6034528,120.9739547,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 183,PH137605183
338,Lucky Gold Plaza / LG Plaza,,14.5905401,121.0945602,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Pio Del Pilar,PH137602018
339,Luxe Duty Free,,14.5380294,120.9832968,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007
340,M Place Mall South Triangle,,14.6393963,121.032587,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Doña Imelda,PH137404031
341,Madison Square Greenhills,,14.6048541,121.0426946,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,Talon Uno,PH137601008
342,Madison Square Las Piñas,,14.443573,120.995803,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Buayang Bato,PH137401008
343,Madison Square Pioneer,,14.570757,121.0510801,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,Barangay 666,PH133908008
344,Magic CenterPoint Dagupan,,16.0429747,120.335533,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),LA UNION,CITY OF SAN FERNANDO (Capital),Pagdaraoan,PH013314041
345,Magic Mall Malasin San Jose City,Magic Group of Companies,15.7956149,120.9932614,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Ferdinand E. Marcos Pob. (District II),PH034926020
346,Magic Mall Rizal San Jose City,Magic Group of Companies,15.792168,120.991801,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Ferdinand E. Marcos Pob. (District II),PH034926020
347,Magic Mall San Carlos,,15.9323857,120.3456984,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,CITY OF URDANETA,Poblacion,PH015546032
348,Magic Mall Urdaneta,,15.9753447,120.5680274,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Barangay IV (Zamora),PH015518004
349,Magic Star Mall Paniqui,SMCT Realty & Holdings Co. Inc.,15.6697445,120.5817633,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,PANIQUI,Poblacion Norte,PH036910024
350,Magic Star Mall Tarlac,SMCT Realty & Holdings Co. Inc.,15.4866598,120.5876514,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Cut-cut I,PH036916029
351,Makati Square,,14.5523286,121.0146088,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,Longos,PH137502010
352,Malabon Citisquare,,14.657817,120.961,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
353,Mall of the Valley,,14.5750695,120.9837727,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,Barangay 669,PH133908011
354,MANA TOWN CENTER,,14.440992,120.9037639,ChIJQVoZJ43TlzMRJSSl_fQeYJY,Google Maps,Google Maps,5/2/2020,REGION IV-A (CALABARZON),CAVITE,KAWIT,Tabon I,PH042111010
355,Manila Ocean Park Mall,,14.579469,120.972894,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Ugong,PH137403029
356,Manna Mall,,16.6267474,120.319316,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Pantal,PH015518022
357,Marina Mall,,10.3276559,123.9840794,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),QUEZON,LUCENA CITY (Capital),Barangay 3 (Pob.),PH045624006
358,Market City Tarlac,,15.4907786,120.5891836,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Mabini,PH036916046
359,Market! Market!,Ayala Land,14.5491314,121.0558947,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Poblacion,PH137602020
360,Marquee Mall,,15.162354,120.608697,608d408k-bcabe5cb71d604928be748d3bb528143,Here WeGo,Here WeGo,5/2/2020,REGION III (CENTRAL LUZON),PAMPANGA,ANGELES CITY,Pulung Maragul,PH035401019
361,Marymart Center,,10.697461,122.5680664,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),San Rafael,PH063022160
