ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
44,Ayala Malls Marikina,Ayala Land[21],14.6486322,121.1159839,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001
45,Ayala Malls Parklinks,,14.6010484,121.0844555,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,Almanza Dos,PH137601010
46,Ayala Malls Serin,Ayala Land,14.1135865,120.9592898,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Silang Junction North,PH042119035
47,Ayala Malls Solenad,Ayala Land,14.2383172,121.0563718,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Santo Domingo,PH043428020
48,Ayala Malls South Park,Ayala Land[22],14.4121574,121.0469341,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Ugong,PH137403029
49,Ayala Malls Southvale,,14.4053584,121.0087302,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,Barangay 96,PH133901096
50,Ayala Malls The 30th,Ayala Land[23],14.5806921,121.0647492,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagong Pag-asa,PH137404009
51,Ayala Malls Vertis North,Ayala Land,14.6518963,121.0360171,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
52,Baclaran Bagong Milenyo Plaza,,14.5344445,120.9962482,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Baclaran,PH137604001
53,Baclaran Galleria Shopping Mall,,14.5913483,121.0511603,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Baclaran,PH137604001
54,Baclaran Terminal Plaza,,14.532792,120.996947,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,Barangay 49,PH133901049
55,Baguio Ayala Technohub,Ayala Land,16.39834,120.6083034,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Kagitingan,PH141102053
56,Baguio Centermall,,16.4162445,120.5961346,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Kabayanihan,PH141102142
57,Balagtas Town Center,AMRC Holdings Co. Inc.,14.8201996,120.9043719,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),BULACAN,BALAGTAS (BIGAA),Wawa (Pob.),PH031402011
58,Banilad Town Centre,,10.3408875,123.9129611,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Banilad,PH072217007
59,Berkeley Square,,14.6630886,121.0683549,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Palanan,PH137602015
60,Bichara Mall Naga,,13.6228453,123.1840732,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Abella,PH051724001
61,Blue Bay Walk,,14.5383926,120.9889902,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,Santo Niño,PH137402010
62,Blue Wave-Marikina,,14.6354727,121.1012215,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
63,Bohol Quality Mall,Bohol Quality Corp.,9.6419139,123.8551156,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion II,PH071242011
64,Bohol Quality Superstore Tubigon,Bohol Quality Corp.,9.949761,123.9614436,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TUBIGON,Pooc Oriental (Pob.),PH071245027
65,Bonifacio High Street,Ayala Land,14.5508139,121.0504784,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Poblacion,PH137602020
66,Bonifacio Stop Over Pavilion,,14.5542176,121.0460645,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,Marikina Heights (Concepcion),PH137402013
