,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
37,303,Ayala Center Cebu,Ayala Land,10.3181327,123.90512720000001,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Luz,PH072217044,10.3181327123.90512720000001
38,495,Ayala Malls Capitol Central,Ayala Land,10.6774769,122.94988229999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Oranbo,PH137403013,10.6774769122.94988229999998
39,304,Ayala Malls Central Bloc,Ayala Land,10.330664800000001,123.9074206,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Lahug (Pob.),PH072217041,10.330664800000001123.9074206
40,664,Ayala Malls Circuit,Ayala Land[20],14.572985599999999,121.0192591,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Balingasa,PH137404013,14.572985599999999121.0192591
41,665,Ayala Malls Cloverleaf,Ayala Land[21],14.655076199999998,121.0012534,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Dela Paz,PH137403006,14.655076199999998121.0012534
42,666,Ayala Malls Feliz,Ayala Land,14.619722699999999,121.09337859999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Tambo,PH137604006,14.619722699999999121.09337859999998
43,100,Ayala Malls Legazpi,Ayala Land,13.147272099999999,123.7525649,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 36 - Kapantawan (Pob.),PH050506028,13.147272099999999123.7525649
44,560,Ayala Malls Manila Bay,Ayala Land,14.5224821,120.98965020000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Almanza Dos,PH137601010,14.5224821120.98965020000001
45,668,Ayala Malls Marikina,Ayala Land[21],14.648632199999998,121.11598390000002,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001,14.648632199999998121.11598390000002
46,786,Ayala Malls Parklinks,,14.6010484,121.08445549999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,Almanza Dos,PH137601010,14.6010484121.08445549999999
