source_id,date,Loc,lat,long,status,counts
250304,2020-01-27T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,11
250200,2020-01-25T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250598,2020-01-30T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250697,2020-01-31T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250613,2020-01-30T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250640,2020-01-31T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250674,2020-01-31T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250769,2020-02-01T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250717,2020-02-01T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250309,2020-01-27T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,4
249996,2020-01-23T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,suspected,3
250195,2020-01-25T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,suspected,80
250449,2020-01-28T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,suspected,11
250574,2020-01-30T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,suspected,11
250628,2020-01-31T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,suspected,0
250744,2020-02-01T00:00:00.000000,aklan,11.609596407309311,122.24801950796716,,11
250691,2020-01-31T00:00:00.000000,rizal,14.617403000048624,121.26254142656285,suspected,0
250619,2020-01-31T00:00:00.000000,iloilo,11.007600887160626,122.60537465887501,,0
250677,2020-01-31T00:00:00.000000,laguna,14.24132397019057,121.36511316544217,suspected,0
250665,2020-01-31T00:00:00.000000,benguet,16.542843489984676,120.69886165995462,,0
250629,2020-01-31T00:00:00.000000,batangas,13.891920116590907,121.03136855463036,,0
249882,2020-01-21T00:00:00.000000,batangas,13.891920116590907,121.03136855463036,suspected,0
250349,2020-01-27T00:00:00.000000,camiguin,9.171998365790792,124.71774288305038,suspected,106
186633,2020-01-30T00:00:00.000000,philippines,,,confirmed,1
